Date,Open,High,Low,Close,Adj Close,Volume
2024-05-03,77.970001,78.300003,77.580002,77.970001,77.152397,2613200
2024-05-06,78.269997,78.430000,78.000000,78.129997,77.310715,3495900
2024-05-07,78.440002,78.660004,78.190002,78.250000,77.429459,3026300
2024-05-08,78.129997,78.570000,77.980003,78.510002,77.686737,2051800
2024-05-09,78.589996,79.169998,78.389999,79.160004,78.329926,3006100
2024-05-10,79.309998,79.379997,79.160004,79.300003,78.468452,2044700
2024-05-13,79.510002,79.879997,79.419998,79.559998,78.725723,2238200
2024-05-14,79.699997,79.949997,79.400002,79.690002,78.854362,2122500
2024-05-15,80.010002,80.230003,79.830002,80.150002,79.309540,2495900
2024-05-16,80.000000,80.139999,79.709999,80.000000,79.161110,2724600
2024-05-17,79.989998,80.099998,79.830002,80.080002,79.240273,2112800
2024-05-20,80.089996,80.089996,79.599998,79.680000,78.844467,2546000
2024-05-21,79.589996,79.720001,79.260002,79.459999,78.626770,2242000
2024-05-22,79.290001,79.519997,78.959999,79.199997,78.369499,2993100
2024-05-23,79.139999,79.139999,77.940002,77.980003,77.162292,3143900
2024-05-24,78.250000,78.440002,77.940002,78.099998,77.281029,2389800
2024-05-28,78.160004,78.160004,77.169998,77.440002,76.627960,3281000
2024-05-29,76.949997,76.949997,76.360001,76.419998,75.618645,3168600
2024-05-30,76.620003,77.160004,76.559998,77.150002,76.340996,2421700
2024-05-31,77.300003,78.589996,77.150002,78.570000,77.746101,2619600
2024-06-03,78.699997,78.699997,77.629997,78.139999,77.320610,2751900
2024-06-04,77.879997,78.360001,77.739998,78.180000,77.360191,1958200
2024-06-05,78.300003,78.360001,77.580002,78.150002,77.330513,3750000
2024-06-06,78.000000,78.389999,77.760002,78.080002,77.261246,2216700
2024-06-07,77.889999,78.440002,77.660004,77.889999,77.073235,2064000
2024-06-10,77.680000,77.879997,77.279999,77.769997,76.954491,2555300
2024-06-11,77.500000,77.510002,76.940002,77.500000,76.687325,2498700
2024-06-12,78.209999,78.269997,77.230003,77.440002,76.627960,2831900
2024-06-13,77.209999,77.230003,76.620003,77.110001,76.301414,2732400
2024-06-14,76.709999,76.919998,76.250000,76.790001,75.984772,3159200
2024-06-17,76.639999,77.360001,76.440002,77.300003,76.489426,3083400
2024-06-18,77.349998,77.900002,77.349998,77.639999,76.825859,2440400
2024-06-20,77.489998,78.190002,77.379997,78.059998,77.241447,3244000
2024-06-21,78.209999,78.370003,77.949997,78.120003,77.300827,2798800
2024-06-24,78.449997,79.360001,78.410004,79.209999,78.379395,2660700
2024-06-25,79.129997,79.129997,78.330002,78.580002,77.756004,2620600
2024-06-26,77.589996,77.599998,77.290001,77.430000,77.430000,2720800
2024-06-27,77.440002,77.480003,76.970001,77.269997,77.269997,3057500
2024-06-28,77.510002,78.099998,77.400002,77.760002,77.760002,3536600
2024-07-01,78.000000,78.389999,77.309998,77.410004,77.410004,5546800
2024-07-02,77.410004,77.629997,77.040001,77.449997,77.449997,2720200
2024-07-03,77.430000,77.669998,77.150002,77.180000,77.180000,2056300
2024-07-05,77.199997,77.199997,76.709999,77.019997,77.019997,3295400
2024-07-08,77.070000,77.410004,76.849998,77.089996,77.089996,2858900
2024-07-09,76.849998,77.430000,76.790001,77.110001,77.110001,2956700
2024-07-10,77.269997,77.940002,77.160004,77.870003,77.870003,2575500
2024-07-11,78.110001,78.949997,78.089996,78.820000,78.820000,3444000
2024-07-12,79.260002,80.029999,79.129997,79.639999,79.639999,3219400
